ID,ID_Tipo_de_impressora,Ultima_manutencao,Data_de_aquisicao,Disponibilidade,Em_uso,Possui_defeito
1697,HP MFP M225dw,23/12/2024,21/9/2022,Sim,Não,Não
1698,Kyocera M2040dn,14/11/2024,15/4/2021,Sim,Não,Não
1699,Brother 8157dn,18/11/2024,14/10/2020,Sim,Não,Não
1700,HP P2055dn,24/11/2024,6/9/2021,Sim,Não,Não
1701,Brother L5652dn,12/9/2024,4/7/2023,Sim,Não,Não
1702,HP MFP M225dw,10/10/2024,23/4/2020,Sim,Não,Não
1703,Brother L5652dn,17/2/2024,16/2/2020,Sim,Não,Não
1704,HP 1015,15/3/2024,27/8/2022,Sim,Não,Não
1705,Kyocera M2040dn,19/8/2024,8/2/2020,Sim,Não,Não
1706,HP Pro M127fn,19/6/2024,3/7/2022,Sim,Não,Não
1707,Brother 7065dn,22/12/2024,18/7/2021,Sim,Não,Não
1708,Brother 7065dn,15/3/2024,8/3/2020,Sim,Não,Não
1709,HP Pro M201dw,22/6/2024,24/10/2021,Sim,Não,Não
1710,Kyocera M2040dn,1/2/2024,23/8/2022,Sim,Não,Não
1711,HP MFP M225dw,3/10/2024,14/1/2022,Sim,Não,Não
1712,Brother 7065dn,1/8/2024,19/2/2023,Sim,Não,Não
1713,HP P2055dn,9/6/2024,8/4/2022,Sim,Não,Não
1714,Kyocera M2040dn,12/3/2024,15/1/2021,Não,Não,Sim
1715,HP P2055dn,19/4/2024,26/4/2021,Não,Sim,Não
1716,HP 1015,24/1/2024,16/11/2023,Sim,Não,Não
1717,HP Pro M127fn,21/6/2024,23/8/2020,Sim,Não,Não
1718,HP P1606dn,2/7/2024,27/1/2023,Sim,Não,Não
1719,HP P2055dn,4/4/2024,21/2/2023,Sim,Não,Não
1720,Kyocera M2040dn,22/8/2024,16/3/2020,Não,Sim,Não
1721,Brother 8952dw,15/7/2024,22/10/2022,Sim,Não,Não
1722,Brother L5652dn,27/3/2024,24/5/2021,Não,Não,Sim
1723,Brother 7065dn,24/1/2024,13/6/2021,Sim,Não,Não
1724,HP P2055dn,8/2/2024,3/9/2023,Sim,Não,Não
1725,HP P2055dn,7/6/2024,24/1/2022,Sim,Não,Não
1726,Brother L5652dn,10/11/2024,7/8/2023,Sim,Não,Não
1727,Brother 8157dn,25/7/2024,15/2/2023,Sim,Não,Não
1728,HP P2055dn,24/9/2024,6/8/2021,Não,Não,Sim
1729,HP 400M425dn,3/10/2024,8/6/2021,Sim,Não,Não
1730,Brother 8157dn,18/5/2024,2/10/2020,Sim,Não,Não
1731,Brother 7065dn,9/6/2024,23/3/2021,Sim,Não,Não
1732,Brother 8157dn,16/8/2024,20/8/2023,Não,Sim,Não
1733,HP Pro M127fn,6/11/2024,16/10/2020,Sim,Não,Não
1734,Kyocera M2040dn,17/1/2024,17/8/2021,Não,Não,Sim
1735,HP Pro M127fn,14/12/2024,8/4/2022,Sim,Não,Não
1736,HP MFP M225dw,16/9/2024,10/12/2022,Não,Sim,Não
1737,HP Pro M127fn,9/2/2024,13/7/2023,Sim,Não,Não
1738,HP P2055dn,15/7/2024,12/8/2021,Sim,Não,Não
1739,HP M1212nf,27/11/2024,19/9/2022,Sim,Não,Não
1740,Brother 8952dw,8/1/2024,26/6/2023,Sim,Não,Não
1741,HP Pro M127fn,22/10/2024,24/12/2022,Sim,Não,Não
1742,HP P1606dn,27/3/2024,7/10/2020,Sim,Não,Não
1743,HP M1212nf,1/1/2024,24/8/2020,Não,Sim,Não
1744,Brother 8157dn,28/3/2024,25/12/2021,Sim,Não,Não
1745,HP M1212nf,15/2/2024,20/9/2023,Sim,Não,Não
1746,Brother 8157dn,24/4/2024,23/2/2021,Sim,Não,Não
1747,Brother 8157dn,15/1/2024,27/11/2022,Não,Sim,Sim
1748,HP 400M425dn,12/2/2024,25/11/2023,Sim,Não,Não
1749,Kyocera M2040dn,22/10/2024,1/7/2022,Sim,Não,Não
1750,HP M1212nf,16/5/2024,22/7/2020,Sim,Não,Não
1751,HP M1212nf,19/10/2024,20/7/2020,Sim,Não,Não
1752,Brother 7065dn,17/7/2024,12/1/2020,Sim,Não,Não
1753,HP P2055dn,8/8/2024,14/5/2022,Não,Sim,Não
1754,HP P1606dn,11/9/2024,23/2/2022,Não,Sim,Não
1755,Brother 8952dw,15/1/2024,23/1/2023,Não,Sim,Não
1756,HP 400M425dn,26/5/2024,25/12/2022,Não,Sim,Não
1757,Brother 8157dn,20/11/2024,12/12/2020,Não,Não,Sim
1758,HP M1212nf,1/9/2024,7/5/2020,Sim,Não,Não
1759,HP Pro M127fn,10/1/2024,8/11/2021,Sim,Não,Não
1760,HP P2055dn,8/1/2024,17/9/2022,Sim,Não,Não
1761,Brother 8952dw,10/1/2024,4/6/2020,Sim,Não,Não
1762,HP P2055dn,22/5/2024,3/11/2022,Sim,Não,Não
1763,HP P2055dn,21/5/2024,9/10/2022,Sim,Não,Não
1764,Brother 7065dn,19/2/2024,27/3/2023,Sim,Não,Não
1765,Brother L5652dn,2/6/2024,11/3/2021,Sim,Não,Não
1766,HP MFP M225dw,10/10/2024,28/1/2023,Sim,Não,Não
1767,HP P2055dn,12/12/2024,27/5/2022,Sim,Não,Não
1768,Kyocera M2040dn,8/12/2024,25/4/2023,Sim,Não,Não
1769,HP P1606dn,3/11/2024,24/10/2023,Sim,Não,Não
1770,HP MFP M225dw,5/9/2024,8/8/2022,Sim,Não,Não
1771,HP P2055dn,4/2/2024,23/7/2023,Sim,Não,Não
1772,HP P2055dn,2/3/2024,16/2/2020,Sim,Não,Não
1773,Brother 7065dn,13/8/2024,26/2/2020,Sim,Não,Não
1774,HP M1212nf,5/1/2024,16/10/2021,Não,Sim,Não
1775,HP MFP M225dw,28/3/2024,23/3/2023,Sim,Não,Não
1776,Brother 8157dn,28/7/2024,16/4/2020,Não,Sim,Não
1777,HP MFP M225dw,24/8/2024,11/2/2023,Sim,Não,Não
1778,Brother L5652dn,27/10/2024,7/4/2022,Sim,Não,Não
1779,Brother 8157dn,7/7/2024,9/12/2023,Sim,Não,Não
1780,Brother 8952dw,8/8/2024,28/11/2022,Não,Não,Sim
1781,Brother L5652dn,10/12/2024,1/7/2020,Não,Sim,Não
1782,HP M1212nf,9/3/2024,22/8/2020,Sim,Não,Não
1783,HP M1212nf,3/5/2024,15/11/2023,Sim,Não,Não
1784,HP 400M425dn,16/1/2024,16/3/2021,Não,Sim,Não
1785,HP M1212nf,9/3/2024,17/11/2022,Sim,Não,Não
1786,Brother 8952dw,9/2/2024,6/1/2023,Não,Não,Sim
1787,Brother 7065dn,23/11/2024,18/11/2021,Sim,Não,Não
1788,Brother 8157dn,27/12/2024,22/1/2021,Sim,Não,Não
1789,Brother 8157dn,21/8/2024,6/2/2021,Não,Sim,Não
1790,Brother 8952dw,19/9/2024,28/9/2023,Não,Sim,Não
1791,HP 1015,12/5/2024,7/5/2020,Sim,Não,Não
1792,Brother 8952dw,5/6/2024,7/8/2023,Sim,Não,Não
1793,HP P1606dn,8/6/2024,27/8/2023,Sim,Não,Não
1794,HP Pro M201dw,16/2/2024,5/4/2022,Sim,Não,Não
1795,Brother 7065dn,21/3/2024,1/11/2020,Não,Sim,Sim
1796,HP M1212nf,25/3/2024,4/3/2023,Sim,Não,Não
1797,HP P1606dn,14/7/2024,1/3/2023,Sim,Não,Não
1798,Kyocera M2040dn,22/4/2024,3/9/2021,Sim,Não,Não
1799,HP P2055dn,14/3/2024,16/9/2021,Sim,Não,Não
1800,Brother 8157dn,12/3/2024,27/5/2020,Sim,Não,Não
1801,Brother L5652dn,21/3/2024,3/1/2020,Sim,Não,Não
1802,Brother L5652dn,13/7/2024,3/10/2023,Não,Sim,Não
1803,HP M1212nf,11/8/2024,16/11/2021,Não,Sim,Não
1804,Kyocera M2040dn,25/12/2024,13/3/2020,Sim,Não,Não
1805,Brother 8157dn,28/1/2024,12/7/2023,Sim,Não,Não
1806,Brother 8157dn,25/12/2024,24/1/2023,Sim,Não,Não
1807,Kyocera M2040dn,13/2/2024,10/2/2023,Não,Sim,Sim
1808,Kyocera M2040dn,28/6/2024,7/1/2023,Sim,Não,Não
1809,HP P2055dn,18/11/2024,5/9/2021,Sim,Não,Não
1810,Brother 8157dn,5/4/2024,27/3/2021,Sim,Não,Não
1811,HP P1606dn,9/2/2024,3/12/2023,Sim,Não,Não
1812,HP P2055dn,28/9/2024,4/11/2022,Sim,Não,Não
1813,Brother 7065dn,12/6/2024,26/4/2021,Sim,Não,Não
1814,HP 1015,12/8/2024,16/8/2023,Não,Sim,Não
1815,Brother 8952dw,15/12/2024,17/10/2020,Não,Sim,Não
1816,Brother 8952dw,10/1/2024,10/2/2020,Sim,Não,Não
1817,Brother 8952dw,24/7/2024,9/2/2023,Não,Sim,Não
1818,HP 1015,17/4/2024,20/6/2021,Sim,Não,Não
1819,Brother 7065dn,3/7/2024,4/12/2020,Sim,Não,Não
1820,Brother 7065dn,6/6/2024,14/7/2021,Sim,Não,Não
1821,HP P1606dn,16/12/2024,2/2/2023,Sim,Não,Não
1822,Brother 8157dn,27/9/2024,16/10/2021,Não,Não,Sim
1823,HP M1212nf,22/6/2024,2/3/2021,Não,Sim,Sim
1824,HP 1015,14/1/2024,8/7/2023,Sim,Não,Não
1825,HP P1606dn,10/7/2024,3/6/2023,Sim,Não,Não
1826,Brother 8157dn,20/10/2024,17/4/2023,Sim,Não,Não
1827,Brother 7065dn,3/8/2024,5/6/2020,Sim,Não,Não
1828,HP M1212nf,24/11/2024,4/12/2020,Não,Sim,Não
1829,HP P2055dn,2/3/2024,25/2/2020,Não,Não,Sim
1830,Brother L5652dn,28/6/2024,15/11/2022,Sim,Não,Não
1831,Brother 7065dn,28/1/2024,13/7/2020,Não,Não,Sim
1832,HP M1212nf,5/11/2024,13/2/2021,Sim,Não,Não
1833,HP P1606dn,20/9/2024,8/9/2023,Não,Sim,Não
1834,Brother 8952dw,16/7/2024,11/12/2021,Não,Sim,Não
1835,HP M1212nf,15/6/2024,18/4/2022,Sim,Não,Não
1836,HP Pro M127fn,19/11/2024,14/2/2022,Sim,Não,Não
1837,Kyocera M2040dn,17/10/2024,13/11/2020,Sim,Não,Não
1838,Brother 8157dn,2/8/2024,26/8/2022,Sim,Não,Não
1839,Brother 8952dw,3/5/2024,22/1/2022,Não,Sim,Não
1840,Kyocera M2040dn,2/3/2024,3/6/2020,Não,Sim,Sim
1841,HP P2055dn,15/5/2024,23/4/2020,Sim,Não,Não
1842,HP P2055dn,3/1/2024,17/1/2021,Sim,Não,Não
1843,HP MFP M225dw,9/10/2024,9/8/2020,Sim,Não,Não
1844,Kyocera M2040dn,11/8/2024,19/3/2022,Não,Não,Sim
1845,Brother 8157dn,8/3/2024,16/9/2023,Não,Sim,Sim
1846,HP 1015,22/9/2024,15/12/2020,Não,Sim,Não
1847,HP M1212nf,7/4/2024,4/1/2022,Não,Sim,Não
1848,Kyocera M2040dn,9/2/2024,3/11/2020,Sim,Não,Não
1849,Brother 7065dn,8/12/2024,2/7/2020,Não,Não,Sim
1850,HP P1606dn,10/7/2024,27/4/2023,Não,Não,Sim
1851,Brother 7065dn,28/12/2024,4/9/2021,Não,Sim,Não
1852,Brother 7065dn,2/8/2024,24/3/2022,Sim,Não,Não
1853,Brother 8952dw,21/4/2024,10/2/2021,Sim,Não,Não
1854,HP P2055dn,17/6/2024,25/5/2020,Não,Não,Sim
1855,Brother 8952dw,27/9/2024,9/10/2022,Sim,Não,Não
1856,Brother 8952dw,12/9/2024,7/7/2023,Sim,Não,Não
1857,HP Pro M127fn,19/10/2024,12/12/2023,Sim,Não,Não
1858,HP 1015,3/6/2024,13/6/2022,Sim,Não,Não
1859,Brother 8157dn,19/11/2024,24/11/2023,Sim,Não,Não
1860,Brother 7065dn,27/4/2024,2/1/2021,Não,Sim,Não
1861,HP P2055dn,4/9/2024,17/5/2021,Não,Não,Sim
1862,HP P2055dn,5/6/2024,11/2/2020,Sim,Não,Não
1863,HP 400M425dn,6/3/2024,28/10/2023,Sim,Não,Não
1864,Brother L5652dn,10/8/2024,22/9/2021,Sim,Não,Não
1865,HP 1015,3/3/2024,16/5/2023,Sim,Não,Não
1866,HP 1015,24/6/2024,7/9/2021,Sim,Não,Não
1867,Brother 8952dw,27/11/2024,10/3/2022,Sim,Não,Não
1868,HP P2055dn,20/6/2024,9/8/2023,Não,Sim,Sim
1869,Brother 7065dn,28/11/2024,4/3/2023,Sim,Não,Não
1870,HP P1606dn,15/5/2024,27/12/2021,Sim,Não,Não
1871,Brother 8952dw,10/4/2024,12/11/2022,Sim,Não,Não
1872,HP 1015,16/2/2024,23/3/2020,Não,Sim,Sim
1873,HP M1212nf,19/4/2024,25/12/2022,Não,Sim,Não
1874,Brother 7065dn,26/12/2024,6/10/2022,Não,Não,Sim
1875,Kyocera M2040dn,19/2/2024,26/3/2020,Não,Não,Sim
1876,HP P2055dn,8/2/2024,4/2/2020,Sim,Não,Não
1877,Brother 7065dn,8/1/2024,16/3/2023,Sim,Não,Não
1878,Kyocera M2040dn,2/12/2024,23/8/2022,Sim,Não,Não
1879,HP MFP M225dw,16/10/2024,14/5/2022,Não,Sim,Sim
1880,HP Pro M127fn,11/1/2024,15/7/2020,Sim,Não,Não
1881,Brother 7065dn,14/11/2024,25/10/2021,Não,Não,Sim
1882,HP P2055dn,12/8/2024,19/1/2023,Não,Não,Sim
1883,Brother 7065dn,25/3/2024,23/7/2022,Sim,Não,Não
1884,HP MFP M225dw,28/8/2024,8/5/2023,Sim,Não,Não
1885,HP M1212nf,13/4/2024,13/8/2020,Sim,Não,Não
1886,HP P1606dn,27/7/2024,19/6/2023,Não,Não,Sim
1887,HP MFP M225dw,17/3/2024,9/12/2020,Não,Sim,Não
1888,HP P2055dn,27/7/2024,10/1/2023,Sim,Não,Não
1889,HP P1606dn,24/12/2024,3/12/2023,Não,Não,Sim
1890,Brother 8157dn,19/3/2024,12/5/2022,Sim,Não,Não
1891,Brother L5652dn,9/1/2024,3/5/2021,Não,Não,Sim
1892,Brother 7065dn,20/8/2024,4/10/2023,Sim,Não,Não
1893,Kyocera M2040dn,27/5/2024,3/4/2022,Sim,Não,Não
1894,HP M1212nf,8/4/2024,21/1/2020,Sim,Não,Não
1895,Brother 8952dw,14/4/2024,5/6/2023,Sim,Não,Não
1896,Kyocera M2040dn,2/10/2024,11/3/2023,Não,Sim,Sim
1897,Kyocera M2040dn,21/11/2024,8/9/2023,Sim,Não,Não
1898,Brother 8157dn,27/12/2024,27/5/2020,Não,Sim,Sim
1899,HP 400M425dn,19/5/2024,9/11/2020,Não,Sim,Não
1900,Brother 8952dw,13/3/2024,27/10/2023,Sim,Não,Não
1901,HP P2055dn,13/7/2024,10/7/2023,Não,Sim,Sim
1902,HP MFP M225dw,17/5/2024,15/7/2023,Sim,Não,Não
1903,Brother 8952dw,21/8/2024,2/4/2021,Sim,Não,Não
1904,HP M1212nf,19/7/2024,12/7/2020,Não,Sim,Não
1905,Brother 7065dn,3/8/2024,22/5/2021,Não,Não,Sim
1906,HP 400M425dn,23/2/2024,26/8/2022,Não,Sim,Não
1907,Brother L5652dn,14/8/2024,12/5/2020,Sim,Não,Não
1908,HP Pro M127fn,10/10/2024,13/1/2023,Sim,Não,Não
1909,Brother L5652dn,12/5/2024,21/6/2023,Não,Sim,Não
1910,HP P2055dn,2/8/2024,11/8/2022,Sim,Não,Não
1911,HP 400M425dn,28/3/2024,6/3/2022,Não,Sim,Não
1912,HP Pro M201dw,27/6/2024,7/4/2021,Sim,Não,Não
1913,HP MFP M225dw,13/6/2024,18/2/2022,Sim,Não,Não
1914,HP P2055dn,15/8/2024,27/8/2021,Sim,Não,Não
1915,HP 1015,9/8/2024,15/8/2020,Sim,Não,Não
1916,Brother 7065dn,17/12/2024,12/9/2021,Não,Não,Sim
1917,Brother 8157dn,21/1/2024,15/4/2023,Sim,Não,Não
1918,HP 400M425dn,14/11/2024,17/6/2023,Sim,Não,Não
1919,Brother L5652dn,16/7/2024,4/8/2023,Sim,Não,Não
1920,Brother 8157dn,10/8/2024,18/4/2021,Sim,Não,Não
1921,HP 1015,22/6/2024,25/5/2021,Sim,Não,Não
1922,Brother 8952dw,17/1/2024,16/2/2022,Sim,Não,Não
1923,Kyocera M2040dn,11/4/2024,14/10/2023,Não,Sim,Não
1924,Brother 7065dn,19/11/2024,3/9/2021,Sim,Não,Não
1925,Brother 8952dw,7/6/2024,18/10/2021,Sim,Não,Não
1926,HP M1212nf,26/11/2024,8/7/2023,Não,Sim,Não
1927,Brother L5652dn,3/8/2024,13/11/2023,Sim,Não,Não
1928,Brother L5652dn,23/6/2024,28/4/2021,Sim,Não,Não
1929,HP P2055dn,18/12/2024,8/6/2022,Sim,Não,Não
1930,HP M1212nf,6/3/2024,8/9/2022,Não,Sim,Não
1931,HP P2055dn,27/12/2024,27/7/2022,Sim,Não,Não
1932,Kyocera M2040dn,10/1/2024,2/11/2023,Não,Sim,Não
1933,HP M1212nf,2/12/2024,20/3/2021,Sim,Não,Não
1934,Kyocera M2040dn,13/10/2024,20/3/2022,Sim,Não,Não
1935,HP 1015,24/5/2024,1/2/2021,Sim,Não,Não
1936,HP MFP M225dw,11/2/2024,14/2/2020,Sim,Não,Não
1937,HP 400M425dn,10/2/2024,17/10/2020,Não,Sim,Não
1938,HP 1015,13/7/2024,7/3/2021,Não,Sim,Não
1939,Brother L5652dn,8/6/2024,20/2/2022,Não,Sim,Não
1940,HP M1212nf,3/4/2024,22/4/2022,Sim,Não,Não
1941,HP P2055dn,14/6/2024,25/5/2023,Sim,Não,Não
1942,Brother 8157dn,12/12/2024,10/1/2023,Não,Sim,Não
1943,HP 1015,15/6/2024,12/5/2021,Sim,Não,Não
1944,HP Pro M127fn,17/7/2024,4/8/2021,Sim,Não,Não
1945,Brother 7065dn,27/1/2024,5/9/2021,Sim,Não,Não
1946,HP P2055dn,21/7/2024,26/1/2021,Sim,Não,Não
1947,HP MFP M225dw,5/9/2024,20/4/2021,Sim,Não,Não
1948,Brother 8157dn,4/8/2024,12/10/2021,Sim,Não,Não
1949,Kyocera M2040dn,3/5/2024,28/7/2023,Não,Sim,Não
1950,Brother 7065dn,1/9/2024,4/9/2023,Sim,Não,Não
1951,HP M1212nf,19/11/2024,7/12/2023,Não,Sim,Não
1952,HP P2055dn,24/8/2024,1/6/2022,Sim,Não,Não
1953,Brother 8952dw,22/10/2024,17/3/2022,Sim,Não,Não
1954,HP P2055dn,18/5/2024,25/12/2023,Sim,Não,Não
1955,HP Pro M127fn,7/9/2024,16/12/2021,Sim,Não,Não
1956,HP P2055dn,27/8/2024,7/7/2023,Sim,Não,Não
1957,Brother 7065dn,5/3/2024,23/8/2023,Sim,Não,Não
1958,Brother 8157dn,6/6/2024,11/11/2020,Sim,Não,Não
1959,HP P2055dn,3/9/2024,3/1/2023,Não,Sim,Não
1960,Brother 7065dn,7/7/2024,16/11/2021,Não,Sim,Não
1961,HP Pro M127fn,27/8/2024,25/9/2021,Sim,Não,Não
1962,HP M1212nf,18/5/2024,11/9/2023,Sim,Não,Não
1963,Brother 8157dn,7/8/2024,14/10/2022,Sim,Não,Não
1964,HP Pro M201dw,24/12/2024,9/9/2022,Não,Sim,Não
1965,HP 1015,12/8/2024,24/11/2020,Não,Não,Sim
1966,Brother 7065dn,9/12/2024,6/4/2022,Sim,Não,Não
1967,HP Pro M201dw,7/11/2024,10/11/2021,Sim,Não,Não
1968,Brother L5652dn,13/3/2024,8/12/2020,Sim,Não,Não
1969,HP M1212nf,14/5/2024,4/12/2020,Não,Não,Sim
1970,Brother 7065dn,20/10/2024,13/4/2023,Sim,Não,Não
1971,HP P2055dn,24/9/2024,3/11/2023,Não,Sim,Não
1972,HP P2055dn,17/3/2024,2/10/2021,Sim,Não,Não
1973,HP 1015,27/9/2024,2/9/2021,Sim,Não,Não
1974,HP P2055dn,13/11/2024,5/2/2023,Sim,Não,Não
1975,HP P2055dn,27/4/2024,28/5/2020,Sim,Não,Não
1976,Brother 7065dn,26/6/2024,11/3/2021,Sim,Não,Não
1977,Kyocera M2040dn,26/5/2024,11/6/2021,Não,Sim,Não
1978,HP M1212nf,15/1/2024,4/10/2020,Sim,Não,Não
1979,Brother 8157dn,22/4/2024,7/3/2023,Sim,Não,Não
1980,HP 400M425dn,12/4/2024,12/3/2022,Sim,Não,Não
1981,HP P2055dn,2/10/2024,14/10/2023,Sim,Não,Não
1982,Brother 7065dn,13/1/2024,6/10/2023,Sim,Não,Não
1983,Brother L5652dn,2/11/2024,6/9/2021,Sim,Não,Não
1984,HP P2055dn,7/6/2024,9/10/2023,Sim,Não,Não
1985,HP Pro M127fn,5/5/2024,9/9/2022,Sim,Não,Não
1986,Brother L5652dn,26/7/2024,6/9/2020,Sim,Não,Não
1987,HP M1212nf,18/5/2024,9/7/2021,Sim,Não,Não
1988,Brother 8157dn,26/9/2024,19/7/2023,Sim,Não,Não
1989,HP M1212nf,15/7/2024,20/12/2023,Não,Não,Sim
1990,Brother 7065dn,14/6/2024,17/11/2020,Sim,Não,Não
1991,HP 1015,28/4/2024,7/4/2020,Sim,Não,Não
1992,HP P2055dn,27/5/2024,17/10/2022,Sim,Não,Não
1993,Brother 8157dn,25/8/2024,24/7/2022,Sim,Não,Não
1994,HP M1212nf,28/2/2024,23/8/2020,Sim,Não,Não
1995,HP Pro M127fn,21/12/2024,2/7/2023,Não,Sim,Não
1996,Brother 8952dw,3/8/2024,21/3/2020,Não,Sim,Não
1997,HP P1606dn,10/9/2024,14/8/2020,Sim,Não,Não
1998,HP M1212nf,17/1/2024,13/11/2022,Sim,Não,Não
1999,Kyocera M2040dn,20/5/2024,17/5/2021,Sim,Não,Não
2000,HP M1212nf,12/5/2024,7/3/2022,Sim,Não,Não
2001,HP P1606dn,7/8/2024,22/11/2020,Sim,Não,Não
2002,Brother 8952dw,13/3/2024,6/6/2023,Não,Sim,Não
2003,Kyocera M2040dn,20/10/2024,24/6/2021,Sim,Não,Não
2004,Brother 7065dn,22/8/2024,14/11/2023,Sim,Não,Não
2005,HP Pro M127fn,27/4/2024,5/1/2022,Sim,Não,Não
2006,HP P2055dn,22/4/2024,4/3/2023,Não,Sim,Não
2007,HP P2055dn,28/6/2024,1/9/2022,Sim,Não,Não
2008,HP M1212nf,12/10/2024,18/12/2023,Sim,Não,Não
2009,HP 400M425dn,27/4/2024,13/9/2021,Sim,Não,Não
2010,HP M1212nf,15/6/2024,6/2/2021,Sim,Não,Não
2011,Brother 8157dn,3/1/2024,22/6/2020,Não,Sim,Não
2012,Brother 8157dn,28/1/2024,27/12/2022,Sim,Não,Não
2013,HP Pro M127fn,22/10/2024,20/1/2020,Sim,Não,Não
2014,Brother 7065dn,20/11/2024,10/2/2020,Sim,Não,Não
2015,Brother 8157dn,21/9/2024,23/5/2022,Sim,Não,Não
2016,HP M1212nf,13/2/2024,15/7/2021,Não,Sim,Não
2017,HP Pro M201dw,15/3/2024,24/1/2023,Sim,Não,Não
2018,Brother L5652dn,8/3/2024,24/3/2021,Sim,Não,Não
2019,HP P2055dn,23/3/2024,11/10/2020,Sim,Não,Não
2020,HP P2055dn,28/12/2024,18/6/2021,Sim,Não,Não
2021,HP P1606dn,3/10/2024,16/10/2021,Sim,Não,Não
2022,Kyocera M2040dn,26/10/2024,6/12/2021,Sim,Não,Não
2023,Brother L5652dn,14/12/2024,23/10/2022,Sim,Não,Não
2024,Kyocera M2040dn,11/11/2024,19/4/2022,Sim,Não,Não
2025,Brother 8157dn,5/10/2024,26/9/2023,Não,Sim,Sim
2026,Brother 7065dn,13/7/2024,19/5/2020,Sim,Não,Não
2027,Brother 7065dn,18/1/2024,24/12/2023,Sim,Não,Não
2028,HP 1015,27/9/2024,25/3/2020,Não,Sim,Não
2029,HP Pro M127fn,17/10/2024,14/12/2023,Sim,Não,Não
2030,Brother 7065dn,10/2/2024,15/8/2022,Sim,Não,Não
2031,HP Pro M201dw,1/9/2024,1/11/2021,Sim,Não,Não
2032,HP 1015,19/5/2024,15/6/2020,Não,Sim,Não
2033,HP Pro M201dw,13/7/2024,3/11/2020,Sim,Não,Não
2034,HP M1212nf,8/7/2024,9/9/2020,Não,Não,Sim
2035,HP M1212nf,9/7/2024,26/1/2023,Não,Sim,Não
2036,Brother 7065dn,8/7/2024,25/5/2023,Sim,Não,Não
2037,HP M1212nf,20/10/2024,17/11/2021,Sim,Não,Não
2038,Brother 8952dw,1/11/2024,21/3/2022,Sim,Não,Não
2039,HP 400M425dn,1/3/2024,8/2/2020,Sim,Não,Não
2040,Brother 8157dn,27/9/2024,8/4/2022,Sim,Não,Não
2041,Brother L5652dn,9/11/2024,25/11/2021,Não,Sim,Não
2042,Brother L5652dn,28/11/2024,3/12/2021,Sim,Não,Não
2043,HP P2055dn,3/3/2024,11/2/2022,Sim,Não,Não
2044,HP 1015,27/1/2024,27/7/2022,Sim,Não,Não
2045,Brother 8952dw,3/3/2024,19/4/2020,Não,Sim,Não
2046,HP 1015,5/4/2024,8/8/2021,Não,Sim,Não
2047,Brother L5652dn,6/4/2024,15/3/2022,Não,Não,Sim
2048,HP M1212nf,27/6/2024,4/8/2021,Sim,Não,Não
2049,Brother 7065dn,16/2/2024,1/10/2020,Sim,Não,Não
2050,Kyocera M2040dn,26/10/2024,2/12/2021,Sim,Não,Não
2051,Brother 8157dn,3/3/2024,7/4/2022,Sim,Não,Não
2052,HP 400M425dn,14/3/2024,6/11/2020,Sim,Não,Não
2053,Brother 8157dn,28/7/2024,14/5/2020,Sim,Não,Não
2054,HP 1015,12/7/2024,13/3/2021,Sim,Não,Não
2055,HP Pro M127fn,20/11/2024,23/10/2022,Sim,Não,Não
2056,HP M1212nf,19/11/2024,20/2/2021,Sim,Não,Não
2057,HP P2055dn,11/8/2024,14/4/2021,Sim,Não,Não
2058,HP M1212nf,22/12/2024,4/12/2020,Não,Sim,Não
2059,HP 1015,7/7/2024,10/11/2021,Sim,Não,Não
2060,Brother 7065dn,1/1/2024,2/2/2021,Sim,Não,Não
2061,HP M1212nf,17/12/2024,17/3/2020,Sim,Não,Não
2062,Brother 8157dn,15/11/2024,26/1/2021,Não,Não,Sim
2063,HP 1015,1/10/2024,13/5/2021,Sim,Não,Não
2064,HP MFP M225dw,8/12/2024,16/5/2022,Sim,Não,Não
2065,Brother L5652dn,19/5/2024,8/11/2022,Não,Sim,Não
2066,Brother L5652dn,19/6/2024,17/1/2023,Sim,Não,Não
2067,HP 1015,8/2/2024,22/1/2022,Sim,Não,Não
2068,Brother 8952dw,21/11/2024,15/7/2022,Sim,Não,Não
2069,HP P2055dn,12/8/2024,23/6/2021,Sim,Não,Não
2070,Brother L5652dn,28/4/2024,2/5/2023,Sim,Não,Não
2071,Brother L5652dn,7/11/2024,18/4/2023,Sim,Não,Não
2072,Kyocera M2040dn,18/7/2024,7/11/2020,Sim,Não,Não
2073,HP Pro M127fn,27/8/2024,25/9/2021,Não,Sim,Não
2074,Brother 8157dn,8/10/2024,5/1/2023,Sim,Não,Não
2075,HP P2055dn,10/6/2024,20/9/2022,Sim,Não,Não
2076,HP M1212nf,21/7/2024,9/5/2021,Não,Sim,Não
2077,Brother L5652dn,16/4/2024,16/4/2020,Não,Sim,Não
2078,Brother L5652dn,4/12/2024,17/12/2021,Não,Sim,Não
2079,Brother 8952dw,16/4/2024,9/11/2022,Sim,Não,Não
2080,HP P1606dn,8/2/2024,23/10/2023,Não,Sim,Não
2081,Brother 8157dn,27/2/2024,9/9/2022,Sim,Não,Não
2082,HP P2055dn,27/3/2024,5/9/2023,Sim,Não,Não
2083,Brother 8157dn,1/12/2024,4/11/2023,Sim,Não,Não
2084,HP P2055dn,15/1/2024,22/1/2021,Sim,Não,Não
2085,HP P2055dn,25/11/2024,2/3/2023,Não,Sim,Não
